Assembly,Category,Qty,Unit,Item,Specification / Selection,Procurement Type,Required,Unit Price (source snapshot),Example Buy / Download Link,Notes / Basis
Car Only,Printable asset,1,pack,FPV RC Car STL pack,Official STL pack; 16 files in archive,Download,Yes,,https://homegenie.it/mini/1.2/examples/fpv-rc-car/download/hg-smart-car-v3-01-STL.zip,Official HomeGenie project files
Car Only,PCB fabrication asset,1,pack,Motor controller shield Gerber pack,Official Gerber package,Fabricate,Yes,,https://homegenie.it/mini/1.2/examples/fpv-rc-car/download/motor-controller-shield-02.zip,Official HomeGenie project files
Car Only,Controller board,1,ea,ESP32-S3 Zero-M,Motion controller board,Buy,Yes,$5.49-$7.99,https://www.waveshare.com/esp32-s3-zero.htm?sku=25517&aff_id=110491,Project page directly links this board
Car Only,Camera board,1,ea,ESP32-S3-CAM board,OV3660 or equivalent camera option,Buy,Yes,$16.99-$19.99,https://www.waveshare.com/product/esp32-s3-cam-ov5640.htm,Use 75 mm FFC if arm is not installed
Car Only,FFC cable,1,ea,24-pin 0.5 mm FFC camera cable,75 mm length for car-only build,Buy,Yes,,,Project explicitly says 75 mm without arm; source an exact 24-pin 0.5 mm cable locally
Car Only,Drive motors,4,ea,MG90S 360 continuous-rotation micro servo,For drivetrain,Buy,Yes,Rs. 237.29 each,https://www.makemanyrobots.com/en-us/products/mg90s-360degrees-continuous-rotation-servo-motor,Project explicitly specifies 4x drive servos
Car Only,Wheels,1,set,48 mm mecanum wheel set,2x left + 2x right,Buy,Yes,$48.35 per set,https://www.robotshop.com/products/48mm-steel-mecanum-wheel-set-2x-left-2x-right,Project explicitly specifies 48 mm wheels
Car Only,Power,2,ea,6 V NiMH battery pack,2x packs per project example,Buy,Yes,,https://www.batteryspace.com/nimh-battery-pack-6v-2200mah-with-hitec-female-connector.aspx,"One for motion controller/servos, one for camera module in example build"
Car Only,RF pigtail,1,ea,RP-SMA to U.FL pigtail cable,150 mm U.FL to RP-SMA bulkhead cable,Buy,Yes,$2.75,https://www.sparkfun.com/rp-sma-to-u-fl-cable-150mm.html,External antenna path
Car Only,RF antenna,1,ea,2.4 GHz RP-SMA WiFi antenna,2 dBi-class external antenna,Buy,Yes,$7.95,https://www.adafruit.com/product/944,External antenna path
Car Only,Fastener,12,ea,"M2 screw, 8 mm",Main assembly,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Project hardware list
Car Only,Fastener,6,ea,"M2 screw, 4 mm",PCB housing / bracket,Buy,Yes,Varies,https://www.mcmaster.com/products/socket-head-cap-screws/thread-size~m2/,Project hardware list
Car Only,Fastener,4,ea,M2 hex nut,Optional stability,Buy,Optional,Varies,https://www.mcmaster.com/products/nuts/thread-size~m2/,Project hardware list
