Assembly,Category,Qty,Unit,Item,Specification / Selection,Procurement Type,Required,Unit Price (source snapshot),Example Buy / Download Link,Notes / Basis
Full Build,Printable asset,1,pack,FPV RC Car STL pack,Official STL pack; 16 files in archive; car/chassis/wheel-adapter/cover/bracket parts,Download,Yes,,https://homegenie.it/mini/1.2/examples/fpv-rc-car/download/hg-smart-car-v3-01-STL.zip,Official HomeGenie project files
Full Build,Printable asset,1,pack,Robotic Arm STL pack,"Official STL pack; 24 STL parts plus README/HISTORY; includes arm, gripper, base, FPV camera mount",Download,Yes,,https://homegenie.it/mini/1.2/examples/mr-robot/download/robot-arm-v2-04-STL.zip,Official HomeGenie project files
Full Build,PCB fabrication asset,1,pack,Motor controller shield Gerber pack,Official Gerber package for custom servo shield,Fabricate,Yes,,https://homegenie.it/mini/1.2/examples/fpv-rc-car/download/motor-controller-shield-02.zip,Official HomeGenie project files
Full Build,Controller board,1,ea,ESP32-S3 Zero-M,"Waveshare ESP32-S3-Zero-M, pre-soldered header version preferred by project link",Buy,Yes,$5.49-$7.99,https://www.waveshare.com/esp32-s3-zero.htm?sku=25517&aff_id=110491,Project page directly links this board
Full Build,Camera board,1,ea,ESP32-S3-CAM board,Use OV3660 or OV2640-class camera option; HomeGenie page suggests night-vision 850nm / 160-degree lens; Waveshare OV3660 board is closest clean current source,Buy,Yes,$16.99-$19.99,https://www.waveshare.com/product/esp32-s3-cam-ov5640.htm,Board + camera module; verify physical fit against printed cover before ordering
Full Build,FFC cable,1,ea,24-pin 0.5 mm FFC camera cable,200 mm length for car-with-arm build; same-side contacts,Buy,Yes,$3.70,https://www.newark.com/wurth-elektronik/687624200002/cable-ffc-0-5mm-200mm-24way/dp/58T2641,Direct 200 mm example; project explicitly calls for 200 mm when arm is installed
Full Build,Drive motors,4,ea,MG90S 360 continuous-rotation micro servo,For 4WD skid-steer drive; metal gear micro servo form factor,Buy,Yes,Rs. 237.29 each,https://www.makemanyrobots.com/en-us/products/mg90s-360degrees-continuous-rotation-servo-motor,Project explicitly specifies 4x MG90S 360-degree continuous rotation servos
Full Build,Arm motors,4,ea,MG90S 180-degree micro servo,Standard positioning servo for robotic arm joints/gripper,Buy,Yes,$5.49 each,https://protosupplies.com/product/servo-motor-micro-mg90s/,Arm guide specifies 4x MG90S or similar-size standard servos
Full Build,Wheels,1,set,48 mm mecanum wheel set,2x left + 2x right wheels,Buy,Yes,$48.35 per set,https://www.robotshop.com/products/48mm-steel-mecanum-wheel-set-2x-left-2x-right,Project explicitly specifies 48 mm mecanum wheel set
Full Build,Power,2,ea,6 V NiMH battery pack,Nominally 2200 mAh; one pack for motion controller/servos and one pack for ESP32-S3-CAM,Buy,Yes,N/A on source page,https://www.batteryspace.com/nimh-battery-pack-6v-2200mah-with-hitec-female-connector.aspx,"Project example says 2x 6V battery packs, e.g. NiMH 2200mAh"
