Project,File Name,Type,Count / Qty Hint,Source Link,Notes
FPV RC Car,hg-smart-car-cover-V3-01.stl,STL,1,,
FPV RC Car,hg-smart-car-base-V2-01.stl,STL,1,,
FPV RC Car,hg-smart-car-servo-bracket-V2-01.stl,STL,4,,Use 4 copies for 4 drive servos
FPV RC Car,hg-smart-car-back-V2-01.stl,STL,1,,
FPV RC Car,hg-smart-car-cover-housing-V2-01.stl,STL,1,,
FPV RC Car,hg-smart-car-servo-wheel-tire-V2-01.stl,STL,4,,If printing tires/wheels rather than buying wheel set; project hardware list still specifies mecanum wheels
FPV RC Car,hg-smart-car-servo-tire-V2-01.stl,STL,4,,
FPV RC Car,hg-smart-car-servo-wheel-V2-01.stl,STL,4,,
FPV RC Car,hg-smart-car-back-pcb-housing-V2-02.stl,STL,1,,
FPV RC Car,smart-car-v2-mecanum-wheel-adapter-01.stl,STL,4,,Use 4 copies
FPV RC Car,hg-smart-car-top-V3-01.stl,STL,1,,
FPV RC Car,hg-smart-car-front-cover-V3-01.stl,STL,1,,
FPV RC Car,hg-smart-car-front-wheels-bracket-V3-01.stl,STL,1,,
